lob,loss_type,method,median_cv,mean_cv,n_companies
MPLO,paid,mack,0.3096,0.3548,23
MPLO,paid,odp,2.6455,36.8143,23
MPLO,paid,odp_bf,0.2372,0.243,23
MPLO,paid,odp_cc,0.1969,0.2602,23
MPLO,paid,odp_corr,0.3035,0.3272,23
MPLO,paid,odp_corr_bf,0.2403,0.249,23
MPLO,paid,odp_corr_cc,0.278,0.3562,23
MPLO,paid,odp_param,0.232,0.2516,23
OLC,case_incurred,mack,0.1709,0.483,66
OLC,case_incurred,odp,0.2385,23.3138,66
OLC,case_incurred,odp_bf,0.2009,0.233,66
OLC,case_incurred,odp_cc,0.1948,0.3372,66
OLC,case_incurred,odp_corr,0.3244,0.7097,66
OLC,case_incurred,odp_corr_bf,0.2192,0.2497,66
OLC,case_incurred,odp_corr_cc,0.2862,0.4784,66
OLC,case_incurred,odp_param,0.2761,0.6196,66
OLC,paid,mack,0.2617,1.0155,66
OLC,paid,odp,0.3346,26.1008,65
OLC,paid,odp_bf,0.2455,0.2725,66
OLC,paid,odp_cc,0.2319,0.3614,66
OLC,paid,odp_corr,0.3772,0.5122,66
OLC,paid,odp_corr_bf,0.2516,0.2821,66
OLC,paid,odp_corr_cc,0.3465,0.4832,66
OLC,paid,odp_param,0.3062,0.4378,66
OLO,case_incurred,mack,0.214,1.1971,158
OLO,case_incurred,odp,0.3442,20.6733,158
OLO,case_incurred,odp_bf,0.1932,0.2074,158
OLO,case_incurred,odp_cc,0.1928,0.2492,158
OLO,case_incurred,odp_corr,0.3104,2.0197,158
OLO,case_incurred,odp_corr_bf,0.2045,0.2222,158
OLO,case_incurred,odp_corr_cc,0.2955,0.3683,158
OLO,case_incurred,odp_param,0.2555,0.7723,158
OLO,paid,mack,0.3222,0.4708,158
OLO,paid,odp,0.3834,18.7671,158
OLO,paid,odp_bf,0.2401,0.2504,158
OLO,paid,odp_cc,0.2224,0.2783,158
OLO,paid,odp_corr,0.356,0.4151,158
OLO,paid,odp_corr_bf,0.2465,0.258,158
OLO,paid,odp_corr_cc,0.3198,0.3852,158
OLO,paid,odp_param,0.2658,0.3447,158
PLC,case_incurred,mack,0.3604,0.8594,9
PLC,case_incurred,odp,1.3079,40.0288,9
PLC,case_incurred,odp_bf,0.2559,0.2745,9
PLC,case_incurred,odp_cc,0.265,0.4164,9
PLC,case_incurred,odp_corr,0.412,0.6685,9
PLC,case_incurred,odp_corr_bf,0.2805,0.2932,9
PLC,case_incurred,odp_corr_cc,0.4033,0.5299,9
PLC,case_incurred,odp_param,0.368,0.5835,9
PLC,paid,mack,0.6805,0.7493,9
PLC,paid,odp,2.6039,43.3588,9
PLC,paid,odp_bf,0.2497,0.2586,9
PLC,paid,odp_cc,0.2601,0.449,9
PLC,paid,odp_corr,0.6054,0.6919,9
PLC,paid,odp_corr_bf,0.2538,0.266,9
PLC,paid,odp_corr_cc,0.3374,0.5481,9
PLC,paid,odp_param,0.5281,0.6028,9
PLO,case_incurred,mack,0.1625,0.3468,44
PLO,case_incurred,odp,0.3184,37.2165,44
PLO,case_incurred,odp_bf,0.2007,0.2167,44
PLO,case_incurred,odp_cc,0.2004,0.2592,44
PLO,case_incurred,odp_corr,0.2906,0.3427,44
PLO,case_incurred,odp_corr_bf,0.2137,0.232,44
PLO,case_incurred,odp_corr_cc,0.2996,0.362,44
PLO,case_incurred,odp_param,0.232,0.2877,44
PLO,paid,mack,0.2582,0.5833,44
PLO,paid,odp,0.51,100.1702,44
PLO,paid,odp_bf,0.2372,0.2517,44
PLO,paid,odp_cc,0.2061,0.2605,44
PLO,paid,odp_corr,0.2599,0.3322,44
PLO,paid,odp_corr_bf,0.2424,0.2604,44
PLO,paid,odp_corr_cc,0.2913,0.3537,44
PLO,paid,odp_param,0.1841,0.2672,44
PPAL,case_incurred,mack,0.0738,0.1339,142
PPAL,case_incurred,odp,0.0913,2.8072,142
PPAL,case_incurred,odp_bf,0.1381,0.1616,142
PPAL,case_incurred,odp_cc,0.1173,0.1546,142
PPAL,case_incurred,odp_corr,0.2245,0.2656,142
PPAL,case_incurred,odp_corr_bf,0.1413,0.1718,142
PPAL,case_incurred,odp_corr_cc,0.1594,0.2085,142
PPAL,case_incurred,odp_param,0.2047,0.243,142
PPAL,paid,mack,0.0919,0.1703,142
PPAL,paid,odp,0.1014,7.0033,142
PPAL,paid,odp_bf,0.239,0.2545,142
PPAL,paid,odp_cc,0.1688,0.1973,142
PPAL,paid,odp_corr,0.2201,0.273,142
PPAL,paid,odp_corr_bf,0.2414,0.2616,142
PPAL,paid,odp_corr_cc,0.1942,0.2345,142
PPAL,paid,odp_param,0.1932,0.243,142
REFIN,case_incurred,mack,0.3004,0.3933,11
REFIN,case_incurred,odp,22.1948,27.3132,11
REFIN,case_incurred,odp_bf,0.1774,0.1943,11
REFIN,case_incurred,odp_cc,0.3217,0.4275,11
REFIN,case_incurred,odp_corr,0.4275,0.465,11
REFIN,case_incurred,odp_corr_bf,0.2048,0.2176,11
REFIN,case_incurred,odp_corr_cc,0.5019,0.6708,11
REFIN,case_incurred,odp_param,0.3959,0.4119,11
REFIN,paid,mack,0.518,1.5457,11
REFIN,paid,odp,15.2435,265.376,11
REFIN,paid,odp_bf,0.2806,0.2755,11
REFIN,paid,odp_cc,0.4391,0.4568,11
REFIN,paid,odp_corr,0.84,1.1058,11
REFIN,paid,odp_corr_bf,0.3045,0.2976,11
REFIN,paid,odp_corr_cc,0.6423,0.6662,11
REFIN,paid,odp_param,0.6749,0.9569,11
RELIAB,case_incurred,mack,0.1744,0.3912,27
RELIAB,case_incurred,odp,0.6886,31.7186,27
RELIAB,case_incurred,odp_bf,0.1629,0.1869,27
RELIAB,case_incurred,odp_cc,0.195,0.2848,27
RELIAB,case_incurred,odp_corr,0.258,0.7343,27
RELIAB,case_incurred,odp_corr_bf,0.1691,0.198,27
RELIAB,case_incurred,odp_corr_cc,0.2861,0.4057,27
RELIAB,case_incurred,odp_param,0.1965,0.6134,27
RELIAB,paid,mack,0.2642,0.5578,27
RELIAB,paid,odp,0.3969,31.0369,27
RELIAB,paid,odp_bf,0.243,0.2717,27
RELIAB,paid,odp_cc,0.249,0.3487,27
RELIAB,paid,odp_corr,0.3434,0.4853,27
RELIAB,paid,odp_corr_bf,0.2526,0.2819,27
RELIAB,paid,odp_corr_cc,0.3751,0.5038,27
RELIAB,paid,odp_param,0.2412,0.4122,27
REPROP,case_incurred,mack,0.2842,0.5161,42
REPROP,case_incurred,odp,14.3736,31.3218,42
REPROP,case_incurred,odp_bf,0.2295,0.2448,42
REPROP,case_incurred,odp_cc,0.3377,0.4183,42
REPROP,case_incurred,odp_corr,0.5007,1.0586,42
REPROP,case_incurred,odp_corr_bf,0.2631,0.2753,42
REPROP,case_incurred,odp_corr_cc,0.4961,0.6116,42
REPROP,case_incurred,odp_param,0.4507,0.7815,42
REPROP,paid,mack,0.4079,0.8733,42
REPROP,paid,odp,1.5646,158.947,42
REPROP,paid,odp_bf,0.2651,0.2934,42
REPROP,paid,odp_cc,0.269,0.3611,42
REPROP,paid,odp_corr,0.5111,0.7275,42
REPROP,paid,odp_corr_bf,0.2815,0.3152,42
REPROP,paid,odp_corr_cc,0.3737,0.5077,42
REPROP,paid,odp_param,0.4377,0.6569,42
SL,case_incurred,mack,0.1618,0.3829,50
SL,case_incurred,odp,0.3392,17.3823,50
SL,case_incurred,odp_bf,0.2187,0.2734,50
SL,case_incurred,odp_cc,0.228,0.2857,50
SL,case_incurred,odp_corr,0.3652,0.4121,50
SL,case_incurred,odp_corr_bf,0.2386,0.2995,50
SL,case_incurred,odp_corr_cc,0.3166,0.4191,50
SL,case_incurred,odp_param,0.3236,0.3702,50
SL,paid,mack,0.2327,0.4447,50
SL,paid,odp,0.292,13.4938,48
SL,paid,odp_bf,0.2628,0.3,50
SL,paid,odp_cc,0.2498,0.2937,50
SL,paid,odp_corr,0.5239,0.5822,50
SL,paid,odp_corr_bf,0.2779,0.3135,50
SL,paid,odp_corr_cc,0.3394,0.3936,50
SL,paid,odp_param,0.4537,0.5226,50
WC,case_incurred,mack,0.0707,0.1234,117
WC,case_incurred,odp,0.1699,24.1223,117
WC,case_incurred,odp_bf,0.1553,0.1772,117
WC,case_incurred,odp_cc,0.13,0.1716,117
WC,case_incurred,odp_corr,0.2121,0.2633,117
WC,case_incurred,odp_corr_bf,0.1717,0.1976,117
WC,case_incurred,odp_corr_cc,0.1957,0.2545,117
WC,case_incurred,odp_param,0.187,0.2356,117
WC,paid,mack,0.076,0.1463,117
WC,paid,odp,0.1014,3.2033,117
WC,paid,odp_bf,0.2365,0.2478,117
WC,paid,odp_cc,0.1624,0.1977,117
WC,paid,odp_corr,0.1729,0.2467,117
WC,paid,odp_corr_bf,0.2409,0.2552,117
WC,paid,odp_corr_cc,0.188,0.2439,117
WC,paid,odp_param,0.1485,0.2137,117
